Measurement type,Year,Month,Day,Hour,Minute,Second,Zero A/D,Current A/D,CO2,IRGA temperature,Humidity,Humidity sensor temperature,Cell gas pressure,IRGA detector temperature,IRGA source temperature,Battery voltage,Date,Time
W M,2018,12,12,16,46,3,44355,41566,466.46,40.1,12.1,24.04,1022,39.8,40.4,11.8,12/12/2018,4:46 PM
W M,2018,12,12,16,46,12,0,0,0,0,0,0,0,0,0,6,12/12/2018,4:46 PM
W M,2018,12,12,16,46,12,0,0,0,0,0,0,0,0,0,9.6,12/12/2018,4:46 PM
W M,2018,12,12,16,46,32,44355,41557,468.15,40.1,12,24.12,1023,39.9,40.3,11.2,12/12/2018,4:46 PM
W M,2018,12,12,16,46,33,44355,41555,468.25,40.1,12,24.12,1023,39.8,40.4,11.2,12/12/2018,4:46 PM
W M,2018,12,12,16,46,35,44355,41553,468.44,40.1,11.97,24.08,1023,39.8,40.4,11.5,12/12/2018,4:46 PM
W M,2018,12,12,16,46,36,44355,41553,468.57,40.1,12,24.12,1023,39.8,40.4,11.7,12/12/2018,4:46 PM
W M,2018,12,12,16,46,38,44355,41553,468.66,40.1,11.97,24.08,1023,39.8,40.3,11.7,12/12/2018,4:46 PM
W M,2018,12,12,16,46,40,44355,41552,468.79,40.1,11.97,24.08,1023,39.8,40.4,11.7,12/12/2018,4:46 PM
W M,2018,12,12,16,46,41,44355,41551,468.93,40.1,11.97,24.08,1023,39.8,40.3,11.7,12/12/2018,4:46 PM
W M,2018,12,13,14,35,59,44355,41191,549.32,40.1,13.73,25.44,1022,39.8,40.4,10.4,12/13/2018,2:35 PM
W M,2018,12,13,14,36,1,44355,41190,549.39,40.1,13.73,25.44,1022,39.9,40.4,10.5,12/13/2018,2:36 PM
W M,2018,12,13,14,36,2,44355,41191,549.38,40.1,13.73,25.44,1022,39.8,40.3,10.6,12/13/2018,2:36 PM
W M,2018,12,13,14,36,4,44355,41192,549.31,40.1,13.73,25.44,1022,39.9,40.4,10.6,12/13/2018,2:36 PM
W M,2018,12,13,14,36,6,44355,41189,549.43,40.1,13.73,25.44,1022,39.8,40.5,10.6,12/13/2018,2:36 PM
W M,2018,12,13,14,36,7,44355,41191,549.41,40.1,13.73,25.44,1022,39.8,40.4,10.5,12/13/2018,2:36 PM
W M,2018,12,13,14,36,9,44355,41190,549.46,40.1,13.73,25.44,1022,39.8,40.4,10.6,12/13/2018,2:36 PM
W M,2018,12,13,14,36,10,44355,41191,549.44,40.1,13.73,25.44,1022,39.8,40.4,10.7,12/13/2018,2:36 PM
W M,2018,12,13,14,36,12,44355,41190,549.48,40.1,13.73,25.44,1022,39.8,40.3,10.6,12/13/2018,2:36 PM
W M,2018,12,13,14,36,14,44355,41191,549.45,40.1,13.73,25.44,1022,39.8,40.4,10.6,12/13/2018,2:36 PM
W M,2018,12,13,15,0,54,44355,41362,510.45,40.1,14.59,26.64,1022,39.9,40.3,10.6,12/13/2018,3:00 PM
W M,2018,12,13,16,35,12,44355,41471,488.61,40.1,15.15,27.04,1018,39.8,40.3,10.5,12/13/2018,4:35 PM
W M,2018,12,14,13,19,50,44355,41475,487.85,40.1,17.72,25.84,1017,39.8,40.4,10.6,12/14/2018,1:19 PM
W M,2018,12,14,13,49,50,44355,41608,459.13,40.1,18.62,27.12,1018,39.7,40.5,10.6,12/14/2018,1:49 PM
W M,2018,12,14,14,19,50,44355,41563,469.56,40.1,19.26,27.84,1016,39.9,40.3,10.5,12/14/2018,2:19 PM
W M,2018,12,14,15,32,11,44355,41529,478.45,40.1,20.03,28.32,1014,39.9,40.4,10.7,12/14/2018,3:32 PM
W M,2018,12,14,16,19,50,44355,41504,484.26,40.1,20.38,28.6,1013,39.9,40.3,10.6,12/14/2018,4:19 PM
W M,2018,12,14,16,49,50,44355,41523,480.39,40.1,20.92,29.2,1013,39.9,40.4,10.7,12/14/2018,4:49 PM
W M,2018,12,14,17,19,50,44355,41461,494.13,40.1,21.11,29.52,1012,39.9,40.3,10.8,12/14/2018,5:19 PM
W M,2018,12,17,11,49,51,44355,41607,456.8,40.1,13.9,24.28,1024,39.8,40.4,10.7,12/17/2018,11:49 AM
W M,2018,12,17,12,19,51,44355,41439,491.98,40.1,14.6,25.84,1024,39.8,40.3,10.6,12/17/2018,12:19 PM
W M,2018,12,17,12,49,51,44355,41360,508.98,40.1,15.23,26.72,1025,39.8,40.4,10.7,12/17/2018,12:49 PM
W M,2018,12,17,13,19,51,44355,41372,507.8,40.1,15.37,27.28,1023,39.8,40.3,10.6,12/17/2018,1:19 PM
W M,2018,12,17,13,49,51,44355,41183,550.9,40.1,15.52,27.64,1022,39.8,40.3,10.7,12/17/2018,1:49 PM
W M,2018,12,17,14,19,51,44355,40937,610.46,40.1,15.43,27.76,1020,39.9,40.4,10.7,12/17/2018,2:19 PM
W M,2018,12,17,15,49,51,44355,41508,483.56,40.1,14.72,26.16,1015,39.8,40.3,10.5,12/17/2018,3:49 PM
W M,2018,12,17,16,19,51,44355,41667,449.28,40.1,14.63,26.68,1015,39.8,40.4,10.3,12/17/2018,4:19 PM
W M,2018,12,17,16,49,51,44355,41801,421.9,40.1,14.75,26.6,1013,39.9,40.3,9.8,12/17/2018,4:49 PM
W M,2018,12,17,17,19,51,44355,41788,425.67,40.1,14.39,26.2,1011,39.9,40.4,9.3,12/17/2018,5:19 PM
W M,2018,12,18,16,23,47,44355,40721,661.7,40.1,13.23,24.44,1022,39.9,40.4,10.8,12/18/2018,4:23 PM
W M,2018,12,18,16,49,51,44355,40741,656.3,40.1,13.68,25.8,1022,39.8,40.2,10.8,12/18/2018,4:49 PM
W M,2018,12,18,17,19,51,44355,40580,697.68,40.1,13.7,26.48,1021,39.9,40.4,10.7,12/18/2018,5:19 PM
W M,2018,12,19,11,19,51,44355,41607,460.26,40.1,12.38,23,1017,39.8,40.4,9.7,12/19/2018,11:19 AM
W M,2018,12,19,11,49,51,44355,41567,469.25,40.1,12.83,23.96,1017,39.8,40.4,8.6,12/19/2018,11:49 AM
W M,2019,1,3,13,19,52,44355,41192,551.73,40.1,15.19,24.32,1018,39.8,40.4,9.8,1/3/2019,1:19 PM
W M,2019,1,3,13,49,52,44355,41364,512.38,40.1,15.56,25.56,1019,39.8,40.4,9.9,1/3/2019,1:49 PM
W M,2019,1,3,14,19,52,44355,41273,533.73,40.1,15.65,26.2,1018,39.9,40.3,10,1/3/2019,2:19 PM
W M,2019,1,3,15,19,52,44355,41161,561.33,40.1,15.64,26,1015,39.8,40.4,10,1/3/2019,3:19 PM
W M,2019,1,3,15,49,52,44355,41085,577.24,40.1,15.92,27.04,1018,39.9,40.4,10.8,1/3/2019,3:49 PM
W M,2019,1,3,16,19,52,44355,41077,578.86,40.1,16.11,27.64,1017,39.8,40.3,10.6,1/3/2019,4:19 PM
W M,2019,1,3,16,49,52,44355,41058,584.49,40.1,15.99,27.92,1016,39.9,40.3,10.9,1/3/2019,4:49 PM
W M,2019,1,3,17,19,52,44355,41023,593.11,40.1,16.18,28.12,1016,39.9,40.4,10.6,1/3/2019,5:19 PM
W M,2019,1,4,10,19,52,44355,41090,574.54,40.1,16.38,25.2,1018,39.9,40.4,10.7,1/4/2019,10:19 AM
W M,2019,1,4,10,49,52,44355,41353,513.37,40.1,17.25,26.88,1020,39.8,40.4,10.6,1/4/2019,10:49 AM
W M,2019,1,4,11,19,52,44355,41049,583.89,40.1,18.25,27.8,1019,39.9,40.4,11,1/4/2019,11:19 AM
W M,2019,1,4,11,49,52,44355,41075,577.98,40.1,18.72,28.4,1018,39.9,40.4,10.7,1/4/2019,11:49 AM
W M,2019,1,4,12,19,52,44355,41291,529.62,40.1,18.26,28.72,1017,39.9,40.3,10.7,1/4/2019,12:19 PM
W M,2019,1,4,12,49,52,44355,41387,508.9,40.1,17.96,28.64,1015,39.9,40.3,10.7,1/4/2019,12:49 PM
W M,2019,1,4,13,19,52,44355,41455,495.71,40.1,17.54,28.64,1013,39.8,40.3,10.7,1/4/2019,1:19 PM
W M,2019,1,4,13,49,52,44355,41405,507.59,40.1,17.33,28.64,1012,39.8,40.3,10.7,1/4/2019,1:49 PM
W M,2019,1,4,14,19,52,44355,41389,512.13,40.1,17.12,28.64,1011,39.9,40.3,10.8,1/4/2019,2:19 PM
W M,2019,1,4,14,49,52,44355,41363,518.37,40.1,17.12,28.64,1010,39.8,40.3,10.8,1/4/2019,2:49 PM
W M,2019,1,4,15,19,52,44355,41315,530.18,40.1,17.17,28.68,1009,39.9,40.3,10.7,1/4/2019,3:19 PM
W M,2019,1,4,15,49,52,44355,41330,527.23,40.1,16.91,28.64,1009,39.9,40.3,10.8,1/4/2019,3:49 PM
W M,2019,1,4,16,19,52,44355,41355,521.58,40.1,16.7,28.64,1009,39.9,40.3,10.7,1/4/2019,4:19 PM
W M,2019,1,4,16,49,52,44355,41266,541.59,40.1,16.7,28.64,1008,39.8,40.3,10.8,1/4/2019,4:49 PM
W M,2019,1,4,17,19,52,44355,41047,593.98,40.1,16.62,28.56,1008,39.9,40.4,10.6,1/4/2019,5:19 PM
W M,2019,1,7,10,49,53,44355,40944,602.8,40.1,12.87,23.24,1027,39.8,40.3,11,1/7/2019,10:49 AM
W M,2019,1,7,11,19,53,44355,41039,579.64,40.1,13.59,25.08,1028,39.8,40.3,11,1/7/2019,11:19 AM
W M,2019,1,7,11,49,53,44355,40912,609.37,40.1,14.13,26.12,1028,39.8,40.3,10.7,1/7/2019,11:49 AM
W M,2019,1,7,12,19,53,44355,41120,561.56,40.1,14.48,26.72,1027,39.8,40.3,10.7,1/7/2019,12:19 PM
W M,2019,1,7,12,49,53,44355,41057,577.21,40.1,14.64,27.12,1026,40,40.4,10.8,1/7/2019,12:49 PM
W M,2019,1,7,13,19,53,44355,41063,577.2,40.1,14.66,27.36,1024,39.8,40.3,10.8,1/7/2019,1:19 PM
W M,2019,1,7,13,49,53,44355,41177,552.38,40.1,14.77,27.48,1023,39.9,40.4,10.8,1/7/2019,1:49 PM
W M,2019,1,7,14,19,53,44355,41033,586.04,40.1,14.68,27.6,1021,39.8,40.4,11,1/7/2019,2:19 PM
W M,2019,1,7,14,49,53,44355,40841,633.82,40.1,14.68,27.6,1020,39.9,40.3,10.8,1/7/2019,2:49 PM
