Station,Date_Time,Timezone,Temp,Spec_cond,Salinity,DO_pct,DO_conc,Depth,pH,Turbidity,Chlorophyll,Phycocyanin,Project,Comments
Beach Haven,2019-01-01 00:00:00,EST,7.46,39.39,24.83,109.3,11.23,1.9,8.25,7.59,,,BBP Real-time 2019,
Beach Haven,2019-01-01 00:15:00,EST,7.48,39.36,24.81,109,11.19,1.92,8.25,7.69,,,BBP Real-time 2019,
Beach Haven,2019-01-01 00:30:00,EST,7.52,39.43,24.86,107.4,11.02,1.94,8.22,8.64,,,BBP Real-time 2019,
Beach Haven,2019-01-01 00:45:00,EST,7.51,39.53,24.93,108.2,11.1,1.98,8.23,9.54,,,BBP Real-time 2019,
Beach Haven,2019-01-01 01:00:00,EST,7.73,39.78,25.12,105.8,10.78,2.02,8.19,14.57,,,BBP Real-time 2019,
Beach Haven,2019-01-01 01:15:00,EST,7.74,39.68,25.05,105.5,10.75,2.06,8.19,11.49,,,BBP Real-time 2019,
Beach Haven,2019-01-01 01:30:00,EST,7.65,39.97,25.25,105.2,10.73,2.1,8.18,22.66,,,BBP Real-time 2019,
Beach Haven,2019-01-01 01:45:00,EST,7.71,40.27,25.46,103.7,10.55,2.13,8.15,16.49,,,BBP Real-time 2019,
Beach Haven,2019-01-01 02:00:00,EST,7.73,40.23,25.43,103.8,10.55,2.16,8.15,16,,,BBP Real-time 2019,
Beach Haven,2019-01-01 02:15:00,EST,7.71,40.37,25.53,103.3,10.51,2.18,8.14,15.51,,,BBP Real-time 2019,
Beach Haven,2019-01-01 02:30:00,EST,7.71,40.53,25.64,102.9,10.46,2.21,8.14,14.23,,,BBP Real-time 2019,
Beach Haven,2019-01-01 02:45:00,EST,7.74,40.86,25.87,102.2,10.36,2.25,8.12,16.33,,,BBP Real-time 2019,
Beach Haven,2019-01-01 03:00:00,EST,7.78,41.08,26.03,101.8,10.3,2.27,8.11,17.71,,,BBP Real-time 2019,
Beach Haven,2019-01-01 03:15:00,EST,7.81,41.21,26.12,101.1,10.22,2.31,8.1,18.02,,,BBP Real-time 2019,
Beach Haven,2019-01-01 03:30:00,EST,7.86,41.29,26.18,101.1,10.2,2.36,8.1,20.1,,,BBP Real-time 2019,
Beach Haven,2019-01-01 03:45:00,EST,7.86,41.47,26.3,99.9,10.08,2.37,8.09,21.34,,,BBP Real-time 2019,
Beach Haven,2019-01-01 04:00:00,EST,7.9,41.17,26.1,100.7,10.16,2.42,8.1,18.27,,,BBP Real-time 2019,
Beach Haven,2019-01-01 04:15:00,EST,7.9,41.4,26.26,100.4,10.12,2.43,8.09,18.58,,,BBP Real-time 2019,
Beach Haven,2019-01-01 04:30:00,EST,7.89,41.67,26.45,100.2,10.08,2.46,8.08,20.19,,,BBP Real-time 2019,
